truth_table_hex,distance,canonical_expression,neighbour_count,failing_neighbour_count,rigidity
c4c8,3,"A(O(X(x0,x3),x2),x1)",24,24,1
c66c,3,"X(A(X(x2,x3),x0),x1)",25,25,1
c6c6,3,"X(A(N(x2),x0),x1)",19,19,1
c800,3,"A(A(O(x0,x2),x1),x3)",23,22,0.95652173913043481
c888,3,"A(O(A(x2,x3),x0),x1)",25,24,0.95999999999999996
c8c0,3,"A(O(A(x0,x3),x2),x1)",25,25,1
c936,3,"X(O(x0,x2),X(x1,x3))",25,25,1
c9c9,3,"N(X(O(x0,x2),x1))",19,19,1
caca,3,"X(A(X(x0,x1),x2),x0)",24,22,0.91666666666666663
cc0c,3,"A(O(N(x2),x3),x1)",19,19,1
cc3c,3,"X(A(N(x3),x2),x1)",19,19,1
cc44,3,"A(O(N(x0),x3),x1)",19,19,1
cc48,3,"A(O(X(x0,x2),x3),x1)",24,24,1
cc66,3,"X(A(N(x3),x0),x1)",19,19,1
cc80,3,"A(O(A(x0,x2),x3),x1)",25,25,1
cc99,3,"N(X(O(x0,x3),x1))",19,19,1
ccaa,3,"X(A(X(x0,x1),x3),x0)",24,24,1
ccc3,3,"N(X(O(x2,x3),x1))",19,19,1
ccc8,3,"A(O(O(x0,x2),x3),x1)",22,21,0.95454545454545459
cccf,3,"O(N(O(x2,x3)),x1)",19,14,0.73684210526315785
ccdd,3,"O(N(O(x0,x3)),x1)",19,15,0.78947368421052633
ccee,3,"O(A(N(x3),x0),x1)",19,15,0.78947368421052633
ccf0,3,"X(A(X(x1,x2),x3),x2)",24,23,0.95833333333333337
ccfc,3,"O(A(N(x3),x2),x1)",19,10,0.52631578947368418
cdcd,3,"O(N(O(x0,x2)),x1)",19,17,0.89473684210526316
cdfe,3,"O(X(O(x0,x2),x3),x1)",25,22,0.88
cece,3,"O(A(N(x2),x0),x1)",19,18,0.94736842105263153
ceec,3,"O(A(X(x2,x3),x0),x1)",24,21,0.875
cf00,3,"A(O(N(x2),x1),x3)",19,17,0.89473684210526316
cf0f,3,"O(A(x1,x3),N(x2))",19,17,0.89473684210526316
cf30,3,"X(A(N(x1),x2),x3)",19,17,0.89473684210526316
cf3f,3,"N(A(X(x1,x3),x2))",18,17,0.94444444444444442
cfc0,3,"X(A(X(x1,x3),x2),x3)",24,22,0.91666666666666663
cfcc,3,"O(A(N(x2),x3),x1)",19,15,0.78947368421052633
cfde,3,"O(X(O(x0,x3),x2),x1)",25,16,0.64000000000000001
cff0,3,"O(A(x1,x2),X(x2,x3))",24,21,0.875
cfff,3,"O(N(A(x2,x3)),x1)",16,11,0.6875
d0d0,3,"A(O(N(x0),x1),x2)",19,15,0.78947368421052633
d0e0,3,"A(O(X(x0,x3),x1),x2)",24,15,0.625
d278,3,"X(A(X(x1,x3),x0),x2)",25,25,1
d2d2,3,"X(A(N(x1),x0),x2)",19,18,0.94736842105263153
d5d5,3,"O(A(x1,x2),N(x0))",19,18,0.94736842105263153
d5ea,3,"O(A(x1,x2),X(x0,x3))",25,24,0.95999999999999996
d728,3,"X(A(X(x1,x2),x0),x3)",25,25,1
d7d7,3,"N(A(X(x1,x2),x0))",18,18,1
d8d8,3,"X(A(X(x1,x2),x0),x2)",24,23,0.95833333333333337
dada,3,"O(A(x0,x1),X(x0,x2))",24,23,0.95833333333333337
dcdc,3,"O(A(N(x0),x2),x1)",19,15,0.78947368421052633
dcec,3,"O(A(X(x0,x3),x2),x1)",24,15,0.625
dd00,3,"A(O(N(x0),x1),x3)",19,19,1
dd22,3,"X(A(N(x1),x0),x3)",19,19,1
dd55,3,"O(A(x1,x3),N(x0))",19,19,1
dd77,3,"N(A(X(x1,x3),x0))",18,18,1
dd88,3,"X(A(X(x1,x3),x0),x3)",24,24,1
ddaa,3,"O(A(x0,x1),X(x0,x3))",24,24,1
ddcc,3,"O(A(N(x0),x3),x1)",19,18,0.94736842105263153
ddde,3,"O(X(O(x2,x3),x0),x1)",25,20,0.80000000000000004
ddff,3,"O(N(A(x0,x3)),x1)",16,15,0.9375
de00,3,"A(O(X(x0,x2),x1),x3)",24,22,0.91666666666666663
de5a,3,"O(A(x1,x3),X(x0,x2))",25,25,1
decc,3,"O(A(X(x0,x2),x3),x1)",24,20,0.83333333333333337
deee,3,"O(X(A(x2,x3),x0),x1)",25,20,0.80000000000000004
defc,3,"O(X(A(x0,x3),x2),x1)",25,22,0.88
dfdf,3,"O(N(A(x0,x2)),x1)",16,12,0.75
dfec,3,"O(X(A(x0,x2),x3),x1)",25,18,0.71999999999999997
e000,3,"A(A(O(x0,x1),x2),x3)",23,17,0.73913043478260865
e0a0,3,"A(O(A(x1,x3),x0),x2)",25,22,0.88
e0c0,3,"A(O(A(x0,x3),x1),x2)",25,16,0.64000000000000001
e11e,3,"X(O(x0,x1),X(x2,x3))",25,25,1
e1e1,3,"N(X(O(x0,x1),x2))",19,19,1
e2e2,3,"X(A(X(x0,x2),x1),x0)",24,24,1
e4e4,3,"X(A(X(x1,x2),x0),x1)",24,24,1
e6e6,3,"O(A(x0,x2),X(x0,x1))",24,22,0.91666666666666663
ea00,3,"A(O(A(x1,x2),x0),x3)",25,22,0.88
eaaa,3,"O(A(A(x1,x2),x3),x0)",22,19,0.86363636363636365
eac0,3,"O(A(x0,x3),A(x1,x2))",27,26,0.96296296296296291
ebbe,3,"O(X(X(x1,x2),x3),x0)",23,23,1
ebeb,3,"O(N(X(x1,x2)),x0)",18,18,1
ec00,3,"A(O(A(x0,x2),x1),x3)",25,22,0.88
eca0,3,"O(A(x0,x2),A(x1,x3))",27,27,1
eccc,3,"O(A(A(x0,x2),x3),x1)",22,17,0.77272727272727271
edde,3,"O(X(X(x0,x2),x3),x1)",23,20,0.86956521739130432
eded,3,"O(N(X(x0,x2)),x1)",18,16,0.88888888888888884
ee11,3,"N(X(O(x0,x1),x3))",19,19,1
ee22,3,"X(A(X(x0,x3),x1),x0)",24,24,1
ee44,3,"X(A(X(x1,x3),x0),x1)",24,24,1
ee66,3,"O(A(x0,x3),X(x0,x1))",24,24,1
eebb,3,"O(N(X(x1,x3)),x0)",18,18,1
eedd,3,"O(N(X(x0,x3)),x1)",18,17,0.94444444444444442
eee0,3,"A(O(x0,x1),O(x2,x3))",27,27,1
eeea,3,"O(A(O(x2,x3),x1),x0)",25,23,0.92000000000000004
eeec,3,"O(A(O(x2,x3),x0),x1)",25,21,0.83999999999999997
eeff,3,"O(N(x3),O(x0,x1))",16,15,0.9375
efef,3,"O(N(x2),O(x0,x1))",16,12,0.75
effe,3,"O(O(X(x2,x3),x0),x1)",21,11,0.52380952380952384
f030,3,"A(O(N(x1),x3),x2)",19,17,0.89473684210526316
f03c,3,"X(A(N(x3),x1),x2)",19,18,0.94736842105263153
f050,3,"A(O(N(x0),x3),x2)",19,18,0.94736842105263153
f05a,3,"X(A(N(x3),x0),x2)",19,19,1
f060,3,"A(O(X(x0,x1),x3),x2)",24,22,0.91666666666666663
f080,3,"A(O(A(x0,x1),x3),x2)",25,22,0.88
f0a5,3,"N(X(O(x0,x3),x2))",19,19,1
f0aa,3,"X(A(X(x0,x2),x3),x0)",24,24,1
f0c3,3,"N(X(O(x1,x3),x2))",19,18,0.94736842105263153
f0cc,3,"X(A(X(x1,x2),x3),x1)",24,24,1
f0e0,3,"A(O(O(x0,x1),x3),x2)",22,17,0.77272727272727271
f0f3,3,"O(N(O(x1,x3)),x2)",19,16,0.84210526315789469
f0f5,3,"O(N(O(x0,x3)),x2)",19,17,0.89473684210526316
f0fa,3,"O(A(N(x3),x0),x2)",19,17,0.89473684210526316
f0fc,3,"O(A(N(x3),x1),x2)",19,17,0.89473684210526316
f1f1,3,"O(N(O(x0,x1)),x2)",19,18,0.94736842105263153
f1fe,3,"O(X(O(x0,x1),x3),x2)",25,25,1
f2f2,3,"O(A(N(x1),x0),x2)",19,18,0.94736842105263153
f2f8,3,"O(A(X(x1,x3),x0),x2)",24,24,1
f300,3,"A(O(N(x1),x2),x3)",19,18,0.94736842105263153
f30c,3,"X(A(N(x2),x1),x3)",19,19,1
f333,3,"O(A(x2,x3),N(x1))",19,18,0.94736842105263153
f33f,3,"N(A(X(x2,x3),x1))",18,18,1
f3c0,3,"X(A(X(x2,x3),x1),x3)",24,24,1
f3cc,3,"O(A(x1,x2),X(x1,x3))",24,22,0.91666666666666663
f3f0,3,"O(A(N(x1),x3),x2)",19,17,0.89473684210526316
f3f6,3,"O(X(O(x0,x3),x1),x2)",25,23,0.92000000000000004
f3ff,3,"O(N(A(x1,x3)),x2)",16,16,1
f4f4,3,"O(A(N(x0),x1),x2)",19,19,1
f4f8,3,"O(A(X(x0,x3),x1),x2)",24,24,1
f500,3,"A(O(N(x0),x2),x3)",19,18,0.94736842105263153
f50a,3,"X(A(N(x2),x0),x3)",19,19,1
f555,3,"O(A(x2,x3),N(x0))",19,18,0.94736842105263153
f55f,3,"N(A(X(x2,x3),x0))",18,18,1
f5a0,3,"X(A(X(x2,x3),x0),x3)",24,24,1
f5aa,3,"O(A(x0,x2),X(x0,x3))",24,24,1
f5f0,3,"O(A(N(x0),x3),x2)",19,17,0.89473684210526316
f5f6,3,"O(X(O(x1,x3),x0),x2)",25,23,0.92000000000000004
f5ff,3,"O(N(A(x0,x3)),x2)",16,16,1
f600,3,"A(O(X(x0,x1),x2),x3)",24,23,0.95833333333333337
f666,3,"O(A(x2,x3),X(x0,x1))",25,24,0.95999999999999996
f6f0,3,"O(A(X(x0,x1),x3),x2)",24,22,0.91666666666666663
f6fa,3,"O(X(A(x1,x3),x0),x2)",25,25,1
f6fc,3,"O(X(A(x0,x3),x1),x2)",25,25,1
f7f7,3,"O(N(A(x0,x1)),x2)",16,16,1
f7f8,3,"O(X(A(x0,x1),x3),x2)",25,25,1
f800,3,"A(O(A(x0,x1),x2),x3)",25,24,0.95999999999999996
f888,3,"O(A(x0,x1),A(x2,x3))",27,25,0.92592592592592593
f8f0,3,"O(A(A(x0,x1),x3),x2)",22,22,1
f9f6,3,"O(X(X(x0,x1),x3),x2)",23,23,1
f9f9,3,"O(N(X(x0,x1)),x2)",18,18,1
fa05,3,"N(X(O(x0,x2),x3))",19,19,1
fa0a,3,"X(A(X(x0,x3),x2),x0)",24,24,1
fa50,3,"X(A(X(x2,x3),x0),x2)",24,24,1
fa5a,3,"O(A(x0,x3),X(x0,x2))",24,24,1
faaf,3,"O(N(X(x2,x3)),x0)",18,17,0.94444444444444442
fac8,3,"A(O(x0,x2),O(x1,x3))",27,25,0.92592592592592593
faea,3,"O(A(O(x1,x3),x2),x0)",25,21,0.83999999999999997
faf5,3,"O(N(X(x0,x3)),x2)",18,18,1
faf8,3,"O(A(O(x1,x3),x0),x2)",25,24,0.95999999999999996
faff,3,"O(N(x3),O(x0,x2))",16,14,0.875
fbfb,3,"O(N(x1),O(x0,x2))",16,16,1
fbfe,3,"O(O(X(x1,x3),x0),x2)",21,19,0.90476190476190477
fc03,3,"N(X(O(x1,x2),x3))",19,18,0.94736842105263153
fc0c,3,"X(A(X(x1,x3),x2),x1)",24,23,0.95833333333333337
fc30,3,"X(A(X(x2,x3),x1),x2)",24,24,1
fc3c,3,"O(A(x1,x3),X(x1,x2))",24,24,1
fca8,3,"A(O(x0,x3),O(x1,x2))",27,26,0.96296296296296291
fccf,3,"O(N(X(x2,x3)),x1)",18,15,0.83333333333333337
fcec,3,"O(A(O(x0,x3),x2),x1)",25,16,0.64000000000000001
fcf3,3,"O(N(X(x1,x3)),x2)",18,18,1
fcf8,3,"O(A(O(x0,x3),x1),x2)",25,23,0.92000000000000004
fcff,3,"O(N(x3),O(x1,x2))",16,14,0.875
fdfd,3,"O(N(x0),O(x1,x2))",16,15,0.9375
fdfe,3,"O(O(X(x0,x3),x1),x2)",21,19,0.90476190476190477
fe00,3,"A(O(O(x0,x1),x2),x3)",22,21,0.95454545454545459
feaa,3,"O(A(O(x1,x2),x3),x0)",25,23,0.92000000000000004
fecc,3,"O(A(O(x0,x2),x3),x1)",25,21,0.83999999999999997
feee,3,"O(A(x2,x3),O(x0,x1))",23,20,0.86956521739130432
fef0,3,"O(A(O(x0,x1),x3),x2)",25,25,1
fefa,3,"O(A(x1,x3),O(x0,x2))",23,21,0.91304347826086951
fefc,3,"O(A(x0,x3),O(x1,x2))",23,20,0.86956521739130432
ff03,3,"O(N(O(x1,x2)),x3)",19,14,0.73684210526315785
ff05,3,"O(N(O(x0,x2)),x3)",19,16,0.84210526315789469
ff0a,3,"O(A(N(x2),x0),x3)",19,17,0.89473684210526316
ff0c,3,"O(A(N(x2),x1),x3)",19,17,0.89473684210526316
ff11,3,"O(N(O(x0,x1)),x3)",19,14,0.73684210526315785
ff1e,3,"O(X(O(x0,x1),x2),x3)",25,20,0.80000000000000004
ff22,3,"O(A(N(x1),x0),x3)",19,15,0.78947368421052633
ff28,3,"O(A(X(x1,x2),x0),x3)",24,21,0.875
ff30,3,"O(A(N(x1),x2),x3)",19,14,0.73684210526315785
ff36,3,"O(X(O(x0,x2),x1),x3)",25,21,0.83999999999999997
ff3f,3,"O(N(A(x1,x2)),x3)",16,15,0.9375
ff44,3,"O(A(N(x0),x1),x3)",19,17,0.89473684210526316
ff48,3,"O(A(X(x0,x2),x1),x3)",24,23,0.95833333333333337
ff50,3,"O(A(N(x0),x2),x3)",19,16,0.84210526315789469
ff56,3,"O(X(O(x1,x2),x0),x3)",25,20,0.80000000000000004
ff5f,3,"O(N(A(x0,x2)),x3)",16,16,1
ff60,3,"O(A(X(x0,x1),x2),x3)",24,20,0.83333333333333337
ff6a,3,"O(X(A(x1,x2),x0),x3)",25,24,0.95999999999999996
