truth_table_hex,distance,canonical_expression,neighbour_count,failing_neighbour_count,rigidity
1a5a,4,"X(O(A(A(x1,x2),x3),x0),x2)",29,26,0.89655172413793105
1aea,4,"X(A(x2,x3),O(A(x1,x2),x0))",32,31,0.96875
1af0,4,"X(A(O(A(x1,x2),x0),x3),x2)",32,29,0.90625
1b14,4,"X(O(X(x0,x3),x2),O(x0,x1))",31,31,1
1b1b,4,"N(X(A(X(x1,x2),x0),x1))",24,24,1
1b4e,4,"X(A(x0,x2),O(X(x1,x3),x0))",30,30,1
1be4,4,"X(A(X(x1,x2),x0),X(x1,x3))",30,30,1
1c00,4,"A(X(O(A(x0,x2),x1),x2),x3)",30,27,0.90000000000000002
1c20,4,"A(X(A(x0,x2),x3),X(x1,x2))",32,27,0.84375
1c2c,4,"A(O(X(x0,x3),x1),X(x1,x2))",30,20,0.66666666666666663
1c3c,4,"X(O(A(A(x0,x2),x3),x1),x2)",29,24,0.82758620689655171
1c50,4,"X(O(A(x0,x2),A(x1,x3)),x2)",34,34,1
1cec,4,"X(A(x2,x3),O(A(x0,x2),x1))",32,28,0.875
1cf0,4,"X(A(O(A(x0,x2),x1),x3),x2)",32,29,0.90625
1d12,4,"X(O(X(x1,x3),x2),O(x0,x1))",31,31,1
1d1d,4,"N(X(A(X(x0,x2),x1),x0))",24,24,1
1d2e,4,"X(A(x1,x2),O(X(x0,x3),x1))",30,28,0.93333333333333335
1de2,4,"X(A(X(x0,x2),x1),X(x0,x3))",30,30,1
1e0a,4,"A(O(x0,x3),X(O(x0,x1),x2))",32,29,0.90625
1e0c,4,"A(O(x1,x3),X(O(x0,x1),x2))",32,29,0.90625
1e0f,4,"X(O(N(x3),O(x0,x1)),x2)",23,22,0.95652173913043481
1e10,4,"A(O(x2,x3),X(O(x0,x1),x2))",34,32,0.94117647058823528
1e11,4,"X(O(N(x3),x2),O(x0,x1))",25,25,1
1e1a,4,"X(O(A(O(x2,x3),x1),x0),x2)",32,30,0.9375
1e1c,4,"X(O(A(O(x2,x3),x0),x1),x2)",32,28,0.875
1e2d,4,"X(O(N(X(x0,x3)),x1),x2)",25,24,0.95999999999999996
1e2e,4,"X(A(O(x1,x3),x2),O(x0,x1))",32,28,0.875
1e4b,4,"X(O(N(X(x1,x3)),x0),x2)",25,25,1
1e4e,4,"X(A(O(x0,x3),x2),O(x0,x1))",32,31,0.96875
1e96,4,"X(O(A(x0,x3),X(x0,x1)),x2)",31,31,1
1eaa,4,"X(A(x2,x3),O(A(x1,x3),x0))",32,32,1
1eb4,4,"X(A(X(x1,x3),x0),X(x1,x2))",30,30,1
1ecc,4,"X(A(x2,x3),O(A(x0,x3),x1))",32,31,0.96875
1ed2,4,"X(A(X(x0,x3),x1),X(x0,x2))",30,30,1
1ee1,4,"N(X(O(x0,x1),X(x2,x3)))",25,25,1
1eff,4,"O(N(x3),X(O(x0,x1),x2))",25,25,1
1f00,4,"A(N(A(O(x0,x1),x2)),x3)",25,19,0.76000000000000001
1f0e,4,"X(O(O(X(x2,x3),x0),x1),x2)",28,18,0.6428571428571429
1f10,4,"X(A(O(x0,x1),x2),O(x2,x3))",31,27,0.87096774193548387
1f2c,4,"X(A(O(x0,x1),x2),O(x1,x3))",32,27,0.84375
1f3f,4,"N(A(O(A(x0,x3),x1),x2))",25,16,0.64000000000000001
1f4a,4,"X(A(O(x0,x1),x2),O(x0,x3))",32,28,0.875
1f5f,4,"N(A(O(A(x1,x3),x0),x2))",25,22,0.88
1fa0,4,"X(A(O(A(x1,x3),x0),x2),x3)",32,29,0.90625
1fc0,4,"X(A(O(A(x0,x3),x1),x2),x3)",32,23,0.71875
1fef,4,"O(N(x2),X(O(x0,x1),x3))",25,21,0.83999999999999997
1ff1,4,"O(N(O(x0,x1)),X(x2,x3))",25,17,0.68000000000000005
1ffe,4,"O(X(O(x0,x1),x2),X(x2,x3))",30,21,0.69999999999999996
1fff,4,"N(A(A(O(x0,x1),x2),x3))",23,17,0.73913043478260865
2000,4,"A(A(A(N(x1),x0),x2),x3)",18,13,0.72222222222222221
2002,4,"A(N(O(X(x2,x3),x1)),x0)",21,14,0.66666666666666663
2008,4,"A(A(X(x1,x2),X(x1,x3)),x0)",27,24,0.88888888888888884
2010,4,"A(N(O(X(x0,x3),x1)),x2)",21,12,0.5714285714285714
2013,4,"N(O(X(A(x0,x2),x3),x1))",25,18,0.71999999999999997
2028,4,"A(X(O(A(x1,x3),x2),x1),x0)",30,28,0.93333333333333335
2040,4,"A(A(X(x0,x1),X(x1,x3)),x2)",27,21,0.77777777777777779
204c,4,"A(X(A(x0,x2),x1),X(x1,x3))",33,32,0.96969696969696972
2060,4,"A(X(O(A(x1,x3),x0),x1),x2)",30,25,0.83333333333333337
206c,4,"X(O(A(x0,x2),A(x1,x3)),x1)",34,34,1
2088,4,"A(A(O(x1,x2),X(x1,x3)),x0)",29,27,0.93103448275862066
208a,4,"A(X(O(N(x2),x1),x3),x0)",25,24,0.95999999999999996
20a0,4,"A(A(N(A(x1,x3)),x0),x2)",23,22,0.95652173913043481
20a8,4,"A(X(A(x1,x3),O(x1,x2)),x0)",29,28,0.96551724137931039
20c0,4,"A(A(O(x0,x1),X(x1,x3)),x2)",29,25,0.86206896551724133
20cc,4,"A(O(A(x0,x2),x1),X(x1,x3))",31,27,0.87096774193548387
20d0,4,"A(X(O(N(x0),x1),x3),x2)",25,21,0.83999999999999997
20df,4,"X(O(N(A(x0,x2)),x1),x3)",23,19,0.82608695652173914
20e0,4,"A(X(A(x1,x3),O(x0,x1)),x2)",29,23,0.7931034482758621
20ec,4,"X(A(x1,x3),O(A(x0,x2),x1))",31,27,0.87096774193548387
2100,4,"A(N(O(X(x0,x2),x1)),x3)",21,18,0.8571428571428571
2103,4,"N(O(X(A(x0,x3),x2),x1))",25,22,0.88
2111,4,"N(O(X(A(x2,x3),x0),x1))",25,20,0.80000000000000004
2112,4,"A(N(x1),X(X(x0,x2),x3))",23,20,0.86956521739130432
212e,4,"X(O(X(x0,x2),x1),O(x2,x3))",31,29,0.93548387096774188
2133,4,"N(O(A(X(x0,x2),x3),x1))",24,20,0.83333333333333337
2148,4,"A(X(X(x0,x2),x3),X(x1,x3))",31,31,1
215a,4,"X(O(A(x1,x3),X(x0,x2)),x3)",32,32,1
2174,4,"X(O(X(x0,x2),x1),O(x0,x3))",31,29,0.93548387096774188
2184,4,"A(N(X(x0,x2)),X(x1,x3))",25,25,1
21a5,4,"N(O(A(x1,x3),X(x0,x2)))",25,25,1
21cc,4,"X(O(A(X(x0,x2),x3),x1),x3)",31,27,0.87096774193548387
21ee,4,"X(O(X(A(x2,x3),x0),x1),x3)",32,27,0.84375
21fc,4,"X(O(X(A(x0,x3),x2),x1),x3)",32,29,0.90625
21ff,4,"N(A(O(X(x0,x2),x1),x3))",24,22,0.91666666666666663
2208,4,"A(X(O(A(x1,x2),x3),x1),x0)",30,29,0.96666666666666667
221e,4,"X(O(X(x0,x3),x1),O(x2,x3))",31,30,0.967741935483871
2220,4,"A(A(N(x1),O(x2,x3)),x0)",23,19,0.82608695652173914
2221,4,"N(O(X(O(x2,x3),x0),x1))",25,20,0.80000000000000004
2224,4,"A(X(O(x2,x3),x1),X(x0,x1))",33,30,0.90909090909090906
2226,4,"X(O(A(O(x2,x3),x1),x0),x1)",32,30,0.9375
222a,4,"A(N(A(O(x2,x3),x1)),x0)",25,25,1
222c,4,"A(O(x0,x1),X(O(x2,x3),x1))",34,32,0.94117647058823528
222d,4,"X(O(N(x0),x1),O(x2,x3))",25,25,1
222e,4,"X(A(O(x2,x3),x1),O(x0,x1))",31,31,1
2233,4,"A(N(x1),O(N(x3),x0))",19,17,0.89473684210526316
2248,4,"A(X(A(x1,x2),x0),X(x1,x3))",32,31,0.96875
2255,4,"N(O(A(x0,x1),X(x0,x3)))",24,24,1
2277,4,"N(X(A(X(x1,x3),x0),x3))",24,24,1
2280,4,"A(A(O(x2,x3),X(x1,x3)),x0)",29,28,0.96551724137931039
2282,4,"A(X(O(N(x2),x3),x1),x0)",25,25,1
22a0,4,"A(X(A(x1,x3),O(x2,x3)),x0)",29,29,1
22c8,4,"A(O(A(x1,x2),x0),X(x1,x3))",32,29,0.90625
22de,4,"X(O(X(O(x2,x3),x0),x1),x3)",32,27,0.84375
22ff,4,"N(A(O(N(x0),x1),x3))",19,19,1
2313,4,"N(O(A(X(x0,x3),x2),x1))",24,15,0.625
2323,4,"A(N(x1),O(N(x2),x0))",19,15,0.78947368421052633
2332,4,"A(N(x1),O(X(x2,x3),x0))",24,17,0.70833333333333337
238c,4,"A(O(N(x2),x0),X(x1,x3))",27,26,0.96296296296296291
23c8,4,"A(O(X(x2,x3),x0),X(x1,x3))",31,28,0.90322580645161288
23dc,4,"X(O(A(N(x0),x2),x1),x3)",26,22,0.84615384615384615
23ec,4,"X(O(A(X(x0,x3),x2),x1),x3)",31,22,0.70967741935483875
2400,4,"A(A(X(x0,x1),X(x1,x2)),x3)",27,22,0.81481481481481477
240c,4,"A(X(A(x0,x3),x1),X(x1,x2))",33,32,0.96969696969696972
2418,4,"A(X(X(x0,x2),x3),X(x1,x2))",31,29,0.93548387096774188
2428,4,"A(X(A(x1,x3),x0),X(x1,x2))",32,31,0.96875
2442,4,"A(X(X(x0,x2),x3),X(x0,x1))",31,30,0.967741935483871
2444,4,"A(X(A(x2,x3),x1),X(x0,x1))",33,29,0.87878787878787878
2460,4,"A(X(A(x1,x3),x2),X(x0,x1))",32,30,0.9375
251a,4,"X(O(A(x1,x2),X(x0,x3)),x2)",32,31,0.96875
2525,4,"N(O(A(x0,x1),X(x0,x2)))",24,23,0.95833333333333337
2552,4,"X(O(A(x0,x1),X(x2,x3)),x0)",32,28,0.875
25da,4,"X(O(A(x0,x1),X(x0,x2)),x3)",31,30,0.967741935483871
2600,4,"A(X(O(A(x1,x2),x0),x1),x3)",30,26,0.8666666666666667
260c,4,"X(O(A(x0,x3),A(x1,x2)),x1)",34,33,0.97058823529411764
2640,4,"A(X(A(x1,x2),x3),X(x0,x1))",32,30,0.9375
2662,4,"A(O(X(x2,x3),x0),X(x0,x1))",30,25,0.83333333333333337
2666,4,"X(O(A(A(x1,x2),x3),x0),x1)",29,26,0.89655172413793105
26cc,4,"X(A(O(A(x1,x2),x0),x3),x1)",32,29,0.90625
26ea,4,"X(A(x1,x3),O(A(x1,x2),x0))",32,31,0.96875
2714,4,"X(O(X(x0,x3),x1),O(x0,x2))",31,30,0.967741935483871
2727,4,"N(X(A(X(x1,x2),x0),x2))",24,23,0.95833333333333337
2772,4,"X(A(x0,x1),O(X(x2,x3),x0))",30,27,0.90000000000000002
27d8,4,"X(A(X(x1,x2),x0),X(x2,x3))",30,30,1
2808,4,"A(A(O(x1,x3),X(x1,x2)),x0)",29,26,0.89655172413793105
280a,4,"A(X(O(N(x3),x1),x2),x0)",25,24,0.95999999999999996
2814,4,"A(N(X(x0,x3)),X(x1,x2))",25,25,1
2820,4,"A(A(O(x2,x3),X(x1,x2)),x0)",29,27,0.93103448275862066
2822,4,"A(X(O(N(x3),x2),x1),x0)",25,25,1
283c,4,"A(O(N(x3),x0),X(x1,x2))",27,25,0.92592592592592593
2882,4,"A(N(X(X(x1,x2),x3)),x0)",23,23,1
28aa,4,"A(O(N(x3),X(x1,x2)),x0)",24,24,1
28d7,4,"N(X(A(X(x1,x2),x0),x3))",25,25,1
28ff,4,"O(A(X(x1,x2),x0),N(x3))",24,24,1
2a00,4,"A(A(N(A(x1,x2)),x0),x3)",23,22,0.95652173913043481
2a08,4,"A(X(A(x1,x2),O(x1,x3)),x0)",29,27,0.93103448275862066
2a15,4,"N(O(A(x1,x2),X(x0,x3)))",25,24,0.95999999999999996
2a20,4,"A(X(A(x1,x2),O(x2,x3)),x0)",29,28,0.96551724137931039
2a8a,4,"A(O(N(x2),X(x1,x3)),x0)",24,23,0.95833333333333337
2aa2,4,"A(O(N(x1),X(x2,x3)),x0)",24,23,0.95833333333333337
2aa8,4,"A(O(X(x1,x2),X(x1,x3)),x0)",27,26,0.96296296296296291
2aaa,4,"A(N(A(A(x1,x2),x3)),x0)",22,21,0.95454545454545459
2ad5,4,"X(O(A(x1,x2),N(x0)),x3)",26,25,0.96153846153846156
2aea,4,"X(O(A(x1,x2),X(x0,x3)),x3)",32,31,0.96875
2c00,4,"A(A(O(x0,x1),X(x1,x2)),x3)",29,26,0.89655172413793105
2c0c,4,"A(O(A(x0,x3),x1),X(x1,x2))",31,22,0.70967741935483875
2c1c,4,"X(O(A(X(x0,x3),x2),x1),x2)",31,22,0.70967741935483875
2c28,4,"A(O(A(x1,x3),x0),X(x1,x2))",32,27,0.84375
2c38,4,"A(O(X(x2,x3),x0),X(x1,x2))",31,26,0.83870967741935487
2c6c,4,"X(A(O(A(x1,x3),x0),x2),x1)",32,29,0.90625
2ccc,4,"A(O(x0,x1),X(A(x2,x3),x1))",32,29,0.90625
2ce0,4,"A(O(x0,x1),X(A(x1,x3),x2))",33,29,0.87878787878787878
2d00,4,"A(X(O(N(x0),x1),x2),x3)",25,25,1
2d0f,4,"X(O(N(A(x0,x3)),x1),x2)",23,22,0.95652173913043481
2d2e,4,"X(O(X(O(x2,x3),x0),x1),x2)",32,27,0.84375
2d3c,4,"X(O(A(N(x0),x3),x1),x2)",26,25,0.96153846153846156
2d5a,4,"X(O(A(x0,x1),X(x0,x3)),x2)",31,31,1
2d78,4,"X(A(X(x1,x3),x0),X(x2,x3))",30,30,1
2d87,4,"N(X(A(X(x1,x3),x0),x2))",25,25,1
2da5,4,"X(O(A(x1,x3),N(x0)),x2)",26,26,1
2dd2,4,"X(A(N(x1),x0),X(x2,x3))",25,25,1
2ddd,4,"X(A(x2,x3),O(N(x0),x1))",25,25,1
2dee,4,"X(A(x2,x3),O(X(x0,x3),x1))",31,30,0.967741935483871
2df0,4,"X(A(O(N(x0),x1),x3),x2)",26,26,1
2e00,4,"A(X(A(x1,x2),O(x0,x1)),x3)",29,27,0.93103448275862066
2e0c,4,"X(A(x1,x2),O(A(x0,x3),x1))",31,29,0.93548387096774188
2e1e,4,"X(O(X(A(x2,x3),x0),x1),x2)",32,27,0.84375
2e3c,4,"X(O(A(X(x0,x2),x3),x1),x2)",31,27,0.87096774193548387
2e6a,4,"X(A(x1,x2),O(A(x1,x3),x0))",32,31,0.96875
2eaa,4,"X(O(A(x1,x3),X(x0,x2)),x2)",32,32,1
2ec0,4,"A(O(x0,x1),X(A(x1,x2),x3))",33,32,0.96969696969696972
2ede,4,"X(A(x2,x3),O(X(x0,x2),x1))",31,29,0.93548387096774188
2ee2,4,"X(A(X(X(x0,x2),x3),x1),x0)",30,30,1
2eee,4,"X(A(A(x1,x2),x3),O(x0,x1))",28,26,0.9285714285714286
2ef0,4,"X(A(O(X(x0,x2),x1),x3),x2)",31,29,0.93548387096774188
2f1c,4,"X(O(X(A(x0,x2),x3),x1),x2)",32,25,0.78125
2f1f,4,"N(A(O(X(x0,x3),x1),x2))",24,15,0.625
2f2f,4,"N(A(O(N(x0),x1),x2))",19,15,0.78947368421052633
2f8f,4,"O(A(X(x1,x3),x0),N(x2))",24,23,0.95833333333333337
2fd0,4,"X(A(O(N(x0),x1),x2),x3)",26,22,0.84615384615384615
2fe0,4,"X(A(O(X(x0,x3),x1),x2),x3)",31,22,0.70967741935483875
2ff2,4,"O(A(N(x1),x0),X(x2,x3))",25,21,0.83999999999999997
2ff8,4,"O(A(X(x1,x2),x0),X(x2,x3))",30,27,0.90000000000000002
300f,4,"N(O(A(x1,x2),X(x2,x3)))",24,21,0.875
3020,4,"A(A(N(x1),O(x0,x3)),x2)",23,13,0.56521739130434778
3021,4,"N(O(X(O(x0,x3),x2),x1))",25,16,0.64000000000000001
3024,4,"A(X(O(x0,x3),x1),X(x1,x2))",33,28,0.84848484848484851
3033,4,"A(N(x1),O(N(x3),x2))",19,14,0.73684210526315785
3034,4,"X(O(A(O(x0,x3),x1),x2),x1)",32,30,0.9375
303f,4,"N(X(A(X(x1,x3),x2),x3))",24,22,0.91666666666666663
3040,4,"A(X(O(A(x0,x1),x3),x1),x2)",30,25,0.83333333333333337
3048,4,"A(X(A(x0,x1),x2),X(x1,x3))",32,31,0.96875
3056,4,"X(O(X(x2,x3),x1),O(x0,x3))",31,26,0.83870967741935487
3064,4,"A(O(x1,x2),X(O(x0,x3),x1))",34,30,0.88235294117647056
3065,4,"X(O(N(x2),x1),O(x0,x3))",25,24,0.95999999999999996
3070,4,"A(N(A(O(x0,x3),x1)),x2)",25,21,0.83999999999999997
3074,4,"X(A(O(x0,x3),x1),O(x1,x2))",31,30,0.967741935483871
3080,4,"A(A(O(x0,x3),X(x1,x3)),x2)",29,25,0.86206896551724133
3090,4,"A(X(O(N(x0),x3),x1),x2)",25,23,0.92000000000000004
30a0,4,"A(X(A(x1,x3),O(x0,x3)),x2)",29,26,0.89655172413793105
30c8,4,"A(O(A(x0,x1),x2),X(x1,x3))",32,29,0.90625
30de,4,"X(O(X(O(x0,x3),x2),x1),x3)",32,23,0.71875
30ff,4,"N(A(O(N(x2),x1),x3))",19,17,0.89473684210526316
3113,4,"N(O(A(X(x2,x3),x0),x1))",24,21,0.875
3131,4,"A(N(x1),O(N(x0),x2))",19,17,0.89473684210526316
3132,4,"A(N(x1),O(X(x0,x3),x2))",24,21,0.875
31c4,4,"A(O(N(x0),x2),X(x1,x3))",27,27,1
31c8,4,"A(O(X(x0,x3),x2),X(x1,x3))",31,30,0.967741935483871
31ce,4,"X(O(A(N(x2),x0),x1),x3)",26,25,0.96153846153846156
31ec,4,"X(O(A(X(x2,x3),x0),x1),x3)",31,28,0.90322580645161288
3200,4,"A(A(N(x1),O(x0,x2)),x3)",23,19,0.82608695652173914
3201,4,"N(O(X(O(x0,x2),x3),x1))",25,22,0.88
3204,4,"A(X(O(x0,x2),x1),X(x1,x3))",33,31,0.93939393939393945
3222,4,"A(N(x1),O(A(x2,x3),x0))",25,21,0.83999999999999997
3230,4,"A(N(x1),O(A(x0,x3),x2))",25,21,0.83999999999999997
3236,4,"X(O(A(x1,x3),O(x0,x2)),x1)",30,28,0.93333333333333335
3238,4,"A(O(x0,x2),X(O(x2,x3),x1))",32,29,0.90625
323c,4,"X(O(A(O(x0,x1),x3),x2),x1)",32,32,1
3262,4,"A(O(x0,x2),X(O(x0,x3),x1))",32,29,0.90625
3266,4,"X(O(A(O(x1,x2),x3),x0),x1)",32,30,0.9375
3288,4,"A(O(A(x2,x3),x0),X(x1,x3))",32,30,0.9375
328c,4,"A(O(X(x1,x2),x0),X(x1,x3))",31,30,0.967741935483871
32c0,4,"A(O(A(x0,x3),x2),X(x1,x3))",32,31,0.96875
32c4,4,"A(O(X(x0,x1),x2),X(x1,x3))",31,31,1
32cc,4,"A(O(O(x0,x1),x2),X(x1,x3))",28,26,0.9285714285714286
32cd,4,"X(O(N(O(x0,x2)),x1),x3)",26,24,0.92307692307692313
32fa,4,"A(N(A(x1,x3)),O(x0,x2))",27,26,0.96296296296296291
32fe,4,"X(A(x1,x3),O(O(x0,x1),x2))",28,27,0.9642857142857143
3303,4,"A(N(x1),O(N(x2),x3))",19,11,0.57894736842105265
3304,4,"X(O(A(O(x0,x2),x1),x3),x1)",32,28,0.875
330f,4,"N(X(A(X(x1,x2),x3),x2))",24,23,0.95833333333333337
3311,4,"A(N(x1),O(N(x0),x3))",19,15,0.78947368421052633
3312,4,"A(N(x1),O(X(x0,x2),x3))",24,15,0.625
3320,4,"A(N(x1),O(A(x0,x2),x3))",25,15,0.59999999999999998
3326,4,"X(O(A(x1,x2),O(x0,x3)),x1)",30,25,0.83333333333333337
3328,4,"A(O(x0,x3),X(O(x2,x3),x1))",32,30,0.9375
332c,4,"X(O(A(O(x0,x1),x2),x3),x1)",32,29,0.90625
3332,4,"A(N(x1),O(O(x0,x2),x3))",22,14,0.63636363636363635
3334,4,"X(O(A(x0,x1),O(x2,x3)),x1)",30,24,0.80000000000000004
3337,4,"N(A(O(O(x0,x2),x3),x1))",22,21,0.95454545454545459
3339,4,"X(O(N(x0),O(x2,x3)),x1)",23,21,0.91304347826086951
333a,4,"X(O(O(X(x0,x1),x2),x3),x1)",28,25,0.8928571428571429
3348,4,"A(O(X(x0,x2),x3),X(x1,x3))",30,30,1
334c,4,"X(O(A(A(x0,x1),x2),x3),x1)",29,28,0.96551724137931039
3355,4,"N(X(A(X(x0,x1),x3),x0))",24,24,1
335a,4,"X(A(x1,x3),O(X(x0,x2),x3))",30,30,1
3360,4,"A(O(x2,x3),X(O(x0,x3),x1))",32,29,0.90625
3363,4,"X(O(N(x2),O(x0,x3)),x1)",23,20,0.86956521739130432
3364,4,"X(O(A(O(x1,x2),x0),x3),x1)",32,29,0.90625
3369,4,"X(O(N(X(x0,x2)),x3),x1)",25,25,1
336a,4,"X(A(O(x2,x3),x1),O(x0,x3))",32,32,1
3372,4,"X(O(O(X(x1,x2),x0),x3),x1)",28,25,0.8928571428571429
3378,4,"X(A(O(x0,x3),x1),O(x2,x3))",32,32,1
337f,4,"N(A(O(A(x0,x2),x3),x1))",25,25,1
3380,4,"A(O(A(x0,x2),x3),X(x1,x3))",31,30,0.967741935483871
3384,4,"X(O(A(X(x0,x2),x1),x3),x1)",31,30,0.967741935483871
3393,4,"X(O(N(A(x0,x2)),x3),x1)",23,23,1
339a,4,"X(O(X(O(x1,x2),x0),x3),x1)",32,27,0.84375
339c,4,"X(O(A(N(x0),x2),x3),x1)",26,23,0.88461538461538458
33a0,4,"X(A(x1,x3),O(A(x0,x2),x3))",31,31,1
33a6,4,"X(O(X(A(x1,x2),x0),x3),x1)",32,31,0.96875
33ac,4,"X(O(A(X(x0,x1),x2),x3),x1)",31,27,0.87096774193548387
33b4,4,"X(O(X(A(x0,x1),x2),x3),x1)",32,31,0.96875
33b7,4,"N(A(O(X(x0,x2),x3),x1))",24,24,1
33bb,4,"N(A(O(N(x0),x3),x1))",19,19,1
33c6,4,"X(O(A(N(x2),x0),x3),x1)",26,24,0.92307692307692313
33c8,4,"A(O(O(x0,x2),x3),X(x1,x3))",28,27,0.9642857142857143
33c9,4,"X(O(N(O(x0,x2)),x3),x1)",26,23,0.88461538461538458
33cf,4,"O(N(O(x1,x2)),X(x1,x3))",25,20,0.80000000000000004
33d2,4,"X(O(X(O(x0,x1),x2),x3),x1)",32,27,0.84375
33dd,4,"O(N(O(x0,x1)),X(x1,x3))",25,21,0.83999999999999997
33e4,4,"X(O(A(X(x1,x2),x0),x3),x1)",31,28,0.90322580645161288
33ee,4,"O(A(N(x1),x0),X(x1,x3))",25,21,0.83999999999999997
33f3,4,"N(A(O(N(x2),x3),x1))",19,19,1
33fa,4,"X(A(x1,x3),O(O(x0,x2),x3))",28,25,0.8928571428571429
33fc,4,"O(A(N(x1),x2),X(x1,x3))",25,19,0.76000000000000001
3400,4,"A(X(O(A(x0,x1),x2),x1),x3)",30,27,0.90000000000000002
3408,4,"A(X(A(x0,x1),x3),X(x1,x2))",32,31,0.96875
3438,4,"A(O(X(x0,x3),x2),X(x1,x2))",30,28,0.93333333333333335
343c,4,"X(O(A(A(x0,x1),x3),x2),x1)",29,29,1
3444,4,"X(O(A(x0,x1),A(x2,x3)),x1)",34,32,0.94117647058823528
34cc,4,"X(A(O(A(x0,x1),x2),x3),x1)",32,31,0.96875
34f8,4,"X(A(x1,x3),O(A(x0,x1),x2))",32,32,1
3506,4,"X(O(X(x2,x3),x1),O(x0,x2))",31,26,0.83870967741935487
3535,4,"N(X(A(X(x0,x1),x2),x0))",24,22,0.91666666666666663
353a,4,"X(A(x1,x2),O(X(x0,x3),x2))",30,29,0.96666666666666667
35ca,4,"X(A(X(x0,x1),x2),X(x0,x3))",30,28,0.93333333333333335
3604,4,"A(O(x1,x3),X(O(x0,x2),x1))",34,28,0.82352941176470584
3605,4,"X(O(N(x3),x1),O(x0,x2))",25,24,0.95999999999999996
3622,4,"A(O(x0,x3),X(O(x0,x2),x1))",32,25,0.78125
3626,4,"X(O(A(O(x1,x3),x2),x0),x1)",32,28,0.875
3630,4,"A(O(x2,x3),X(O(x0,x2),x1))",32,26,0.8125
3633,4,"X(O(N(x3),O(x0,x2)),x1)",23,21,0.91304347826086951
3634,4,"X(O(A(O(x1,x3),x0),x2),x1)",32,31,0.96875
3639,4,"X(O(N(X(x0,x3)),x2),x1)",25,25,1
363a,4,"X(A(O(x2,x3),x1),O(x0,x2))",32,32,1
3663,4,"X(O(N(X(x2,x3)),x0),x1)",25,24,0.95999999999999996
3672,4,"X(A(O(x0,x3),x1),O(x0,x2))",32,32,1
3696,4,"X(O(A(x0,x3),X(x0,x2)),x1)",31,31,1
369c,4,"X(A(X(x2,x3),x0),X(x1,x2))",30,30,1
36aa,4,"X(A(x1,x3),O(A(x2,x3),x0))",32,31,0.96875
36c6,4,"X(A(X(x0,x3),x2),X(x0,x1))",30,29,0.96666666666666667
36c9,4,"N(X(O(x0,x2),X(x1,x3)))",25,25,1
36f0,4,"X(A(x1,x3),O(A(x0,x3),x2))",32,32,1
36ff,4,"O(N(x3),X(O(x0,x2),x1))",25,23,0.92000000000000004
3700,4,"A(N(A(O(x0,x2),x1)),x3)",25,23,0.92000000000000004
3704,4,"X(A(O(x0,x2),x1),O(x1,x3))",31,30,0.967741935483871
3732,4,"X(O(O(X(x1,x3),x0),x2),x1)",28,26,0.9285714285714286
3738,4,"X(A(O(x0,x2),x1),O(x2,x3))",32,32,1
373f,4,"N(A(O(A(x0,x3),x2),x1))",25,25,1
3762,4,"X(A(O(x0,x2),x1),O(x0,x3))",32,32,1
3777,4,"N(A(O(A(x2,x3),x0),x1))",25,24,0.95999999999999996
3788,4,"X(A(O(A(x2,x3),x0),x1),x3)",32,31,0.96875
37c0,4,"X(A(O(A(x0,x3),x2),x1),x3)",32,32,1
37cd,4,"O(N(O(x0,x2)),X(x1,x3))",25,24,0.95999999999999996
37fb,4,"O(N(x1),X(O(x0,x2),x3))",25,25,1
37fe,4,"O(X(O(x0,x2),x1),X(x1,x3))",30,28,0.93333333333333335
37ff,4,"N(A(A(O(x0,x2),x1),x3))",23,22,0.95652173913043481
3800,4,"A(A(O(x0,x2),X(x1,x2)),x3)",29,27,0.93103448275862066
3828,4,"A(O(A(x2,x3),x0),X(x1,x2))",32,28,0.875
382c,4,"A(O(X(x1,x3),x0),X(x1,x2))",31,28,0.90322580645161288
3830,4,"A(O(A(x0,x3),x2),X(x1,x2))",31,29,0.93548387096774188
3834,4,"X(O(A(X(x0,x3),x1),x2),x1)",31,31,1
3878,4,"X(A(O(A(x2,x3),x0),x1),x2)",32,31,0.96875
38c8,4,"A(O(x0,x2),X(A(x2,x3),x1))",33,33,1
38f0,4,"A(O(x0,x2),X(A(x1,x3),x2))",32,32,1
3900,4,"A(X(O(N(x0),x2),x1),x3)",25,24,0.95999999999999996
3933,4,"X(O(N(A(x0,x3)),x2),x1)",23,23,1
393a,4,"X(O(X(O(x1,x3),x0),x2),x1)",32,30,0.9375
393c,4,"X(O(A(N(x0),x3),x2),x1)",26,24,0.92307692307692313
3966,4,"X(O(A(x0,x2),X(x0,x3)),x1)",31,31,1
396c,4,"X(A(X(x2,x3),x0),X(x1,x3))",30,30,1
3993,4,"N(X(A(X(x2,x3),x0),x1))",25,25,1
3999,4,"X(O(A(x2,x3),N(x0)),x1)",26,25,0.96153846153846156
39c6,4,"X(A(N(x2),x0),X(x1,x3))",25,25,1
39cc,4,"X(A(O(N(x0),x2),x3),x1)",26,25,0.96153846153846156
39f5,4,"X(A(x1,x3),O(N(x0),x2))",25,25,1
39fa,4,"X(A(x1,x3),O(X(x0,x3),x2))",31,31,1
3a00,4,"A(X(A(x1,x2),O(x0,x2)),x3)",29,26,0.89655172413793105
